barcode,product_name,category,ingredients,energy_kcal,sugar_g,sodium_mg,saturated_fat_g,trans_fat_g,protein_g,fiber_g,additives_count,artificial_colors_count,artificial_sweeteners_count,preservatives_count,is_suspected_adulterant,quality_score,risk_level
890670997202,Pure Green Tea Bag,Beverages,100% organic green tea leaves,1.0,0.0,1.0,0.0,0.0,0.2,0.0,0,0,0,0,0,99,Low Risk
890414922701,Fried Street-Style Savory Mix #1,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",498.4,1.6,1700.9,19.8,3.75,5.5,1.0,6,2,0,2,1,5,High Risk
890343167413,Commercial Potato Crisps #2,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",498.0,0.9,653.8,12.0,0.47,6.7,3.0,4,0,0,1,0,77,Moderate Risk
890997481796,Adulterated Low-Cost Paneer #3,Dairy,"milk solids, vegetable oil, starch, sulfuric acid trace, detergent trace",270.8,4.1,522.3,20.8,2.71,9.2,0.0,4,0,0,2,1,5,High Risk
890930794665,Cream-Filled Sandwich Cookies #4,Bakery & Confectionery,"refined wheat flour, sugar, hydrogenated palm oil, cocoa, high fructose corn syrup, soy lecithin, vanillin, artificial chocolate flavor, tbhq",421.0,33.9,392.8,9.4,1.8,4.6,1.8,5,0,0,2,1,5,High Risk
890683638199,Fried Street-Style Savory Mix #5,Snacks,"refined flour, re-used palm oil, metanil yellow, excess salt, msg",593.9,1.5,1474.8,23.7,3.77,6.4,1.0,6,2,0,2,1,5,High Risk
890378448843,Commercial Potato Crisps #6,Snacks,"potatoes, palm oil, salt, monosodium glutamate, flavor enhancer 635, dextrose",558.7,0.7,895.0,10.6,0.36,7.1,3.0,4,0,0,1,0,71,Moderate Risk
890155321206,Roasted Chickpeas #7,Snacks,"chickpeas, olive oil, sea salt",330.0,2.1,271.1,1.0,0.0,17.6,17.3,0,0,0,0,0,99,Low Risk
890115081224,Fresh Butter #8,Dairy,"pasteurized cream, salt",793.1,0.1,601.8,52.1,0.0,0.9,0.0,0,0,0,0,0,77,Moderate Risk
890982247483,Cottage Cheese (Paneer) #9,Dairy,"pasteurized milk, citric acid",264.3,1.2,24.0,17.0,0.0,17.2,0.0,0,0,0,0,0,95,Low Risk
